Province/State,Country/Region,Lat,Long,Date,Value
#adm1+name,#country+name,#geo+lat,#geo+lon,#date,#affected+infected+value+num
,Algeria,28.0339,1.6596,01-03-2020,1
,Algeria,28.0339,1.6596,29-02-2020,1
,Algeria,28.0339,1.6596,28-02-2020,1
,Algeria,28.0339,1.6596,27-02-2020,1
,Algeria,28.0339,1.6596,26-02-2020,1
,Algeria,28.0339,1.6596,25-02-2020,1
,Algeria,28.0339,1.6596,24-02-2020,0
,Algeria,28.0339,1.6596,23-02-2020,0
,Algeria,28.0339,1.6596,22-02-2020,0
,Algeria,28.0339,1.6596,21-02-2020,0
,Algeria,28.0339,1.6596,20-02-2020,0
,Algeria,28.0339,1.6596,19-02-2020,0
,Algeria,28.0339,1.6596,18-02-2020,0
,Algeria,28.0339,1.6596,17-02-2020,0
,Algeria,28.0339,1.6596,16-02-2020,0
,Algeria,28.0339,1.6596,15-02-2020,0
,Algeria,28.0339,1.6596,14-02-2020,0
,Algeria,28.0339,1.6596,13-02-2020,0
,Algeria,28.0339,1.6596,12-02-2020,0
,Algeria,28.0339,1.6596,11-02-2020,0
,Algeria,28.0339,1.6596,10-02-2020,0
,Algeria,28.0339,1.6596,09-02-2020,0
,Algeria,28.0339,1.6596,08-02-2020,0
,Algeria,28.0339,1.6596,07-02-2020,0
,Algeria,28.0339,1.6596,06-02-2020,0
,Algeria,28.0339,1.6596,05-02-2020,0
,Algeria,28.0339,1.6596,04-02-2020,0
,Algeria,28.0339,1.6596,03-02-2020,0
,Algeria,28.0339,1.6596,02-02-2020,0
,Algeria,28.0339,1.6596,01-02-2020,0
,Algeria,28.0339,1.6596,31-01-2020,0
,Algeria,28.0339,1.6596,30-01-2020,0
,Algeria,28.0339,1.6596,29-01-2020,0
,Algeria,28.0339,1.6596,28-01-2020,0
,Algeria,28.0339,1.6596,27-01-2020,0
,Algeria,28.0339,1.6596,26-01-2020,0
,Algeria,28.0339,1.6596,25-01-2020,0
,Algeria,28.0339,1.6596,24-01-2020,0
,Algeria,28.0339,1.6596,23-01-2020,0
,Algeria,28.0339,1.6596,22-01-2020,0
,Andorra,42.5063,1.5218,20-03-2020,75
,Andorra,42.5063,1.5218,19-03-2020,53
,Andorra,42.5063,1.5218,18-03-2020,39
,Andorra,42.5063,1.5218,17-03-2020,39
,Andorra,42.5063,1.5218,16-03-2020,2
,Andorra,42.5063,1.5218,15-03-2020,1
,Andorra,42.5063,1.5218,14-03-2020,1
,Andorra,42.5063,1.5218,13-03-2020,1
,Andorra,42.5063,1.5218,12-03-2020,1
,Andorra,42.5063,1.5218,11-03-2020,1
,Andorra,42.5063,1.5218,10-03-2020,1
,Andorra,42.5063,1.5218,09-03-2020,1
,Andorra,42.5063,1.5218,08-03-2020,1
,Andorra,42.5063,1.5218,07-03-2020,1
,Andorra,42.5063,1.5218,06-03-2020,1
,Andorra,42.5063,1.5218,05-03-2020,1
,Andorra,42.5063,1.5218,04-03-2020,1
,Andorra,42.5063,1.5218,03-03-2020,1
,Andorra,42.5063,1.5218,02-03-2020,1
,Andorra,42.5063,1.5218,01-03-2020,0
,Andorra,42.5063,1.5218,29-02-2020,0
,Andorra,42.5063,1.5218,28-02-2020,0
,Andorra,42.5063,1.5218,27-02-2020,0
,Andorra,42.5063,1.5218,26-02-2020,0
,Andorra,42.5063,1.5218,25-02-2020,0
,Andorra,42.5063,1.5218,24-02-2020,0
,Andorra,42.5063,1.5218,23-02-2020,0
,Andorra,42.5063,1.5218,22-02-2020,0
,Andorra,42.5063,1.5218,21-02-2020,0
,Andorra,42.5063,1.5218,20-02-2020,0
,Andorra,42.5063,1.5218,19-02-2020,0
,Andorra,42.5063,1.5218,18-02-2020,0
,Andorra,42.5063,1.5218,17-02-2020,0
,Andorra,42.5063,1.5218,16-02-2020,0
,Andorra,42.5063,1.5218,15-02-2020,0
,Andorra,42.5063,1.5218,14-02-2020,0
,Andorra,42.5063,1.5218,13-02-2020,0
,Andorra,42.5063,1.5218,12-02-2020,0
,Andorra,42.5063,1.5218,11-02-2020,0
,Andorra,42.5063,1.5218,10-02-2020,0
,Andorra,42.5063,1.5218,09-02-2020,0
,Andorra,42.5063,1.5218,08-02-2020,0
,Andorra,42.5063,1.5218,07-02-2020,0
,Andorra,42.5063,1.5218,06-02-2020,0
,Andorra,42.5063,1.5218,05-02-2020,0
,Andorra,42.5063,1.5218,04-02-2020,0
,Andorra,42.5063,1.5218,03-02-2020,0
,Andorra,42.5063,1.5218,02-02-2020,0
,Andorra,42.5063,1.5218,01-02-2020,0
,Andorra,42.5063,1.5218,31-01-2020,0
,Andorra,42.5063,1.5218,30-01-2020,0
,Andorra,42.5063,1.5218,29-01-2020,0
,Andorra,42.5063,1.5218,28-01-2020,0
,Andorra,42.5063,1.5218,27-01-2020,0
,Andorra,42.5063,1.5218,26-01-2020,0
,Andorra,42.5063,1.5218,25-01-2020,0
,Andorra,42.5063,1.5218,24-01-2020,0
,Andorra,42.5063,1.5218,23-01-2020,0
,Andorra,42.5063,1.5218,22-01-2020,0
,Angola,-11.2027,17.8739,20-03-2020,1
,Angola,-11.2027,17.8739,19-03-2020,0
,Angola,-11.2027,17.8739,18-03-2020,0
,Angola,-11.2027,17.8739,17-03-2020,0
,Angola,-11.2027,17.8739,16-03-2020,0
,Angola,-11.2027,17.8739,15-03-2020,0
,Angola,-11.2027,17.8739,14-03-2020,0
,Angola,-11.2027,17.8739,13-03-2020,0
,Angola,-11.2027,17.8739,12-03-2020,0
,Angola,-11.2027,17.8739,11-03-2020,0
,Angola,-11.2027,17.8739,10-03-2020,0
,Angola,-11.2027,17.8739,09-03-2020,0
,Angola,-11.2027,17.8739,08-03-2020,0
,Angola,-11.2027,17.8739,07-03-2020,0
,Angola,-11.2027,17.8739,06-03-2020,0
,Angola,-11.2027,17.8739,05-03-2020,0
,Angola,-11.2027,17.8739,04-03-2020,0
,Angola,-11.2027,17.8739,03-03-2020,0
,Angola,-11.2027,17.8739,02-03-2020,0
,Angola,-11.2027,17.8739,01-03-2020,0
,Angola,-11.2027,17.8739,29-02-2020,0
,Angola,-11.2027,17.8739,28-02-2020,0
,Angola,-11.2027,17.8739,27-02-2020,0
,Angola,-11.2027,17.8739,26-02-2020,0
,Angola,-11.2027,17.8739,25-02-2020,0
,Angola,-11.2027,17.8739,24-02-2020,0
,Angola,-11.2027,17.8739,23-02-2020,0
,Angola,-11.2027,17.8739,22-02-2020,0
,Angola,-11.2027,17.8739,21-02-2020,0
,Angola,-11.2027,17.8739,20-02-2020,0
,Angola,-11.2027,17.8739,19-02-2020,0
,Angola,-11.2027,17.8739,18-02-2020,0
,Angola,-11.2027,17.8739,17-02-2020,0
,Angola,-11.2027,17.8739,16-02-2020,0
,Angola,-11.2027,17.8739,15-02-2020,0
,Angola,-11.2027,17.8739,14-02-2020,0
,Angola,-11.2027,17.8739,13-02-2020,0
,Angola,-11.2027,17.8739,12-02-2020,0
,Angola,-11.2027,17.8739,11-02-2020,0
,Angola,-11.2027,17.8739,10-02-2020,0
,Angola,-11.2027,17.8739,09-02-2020,0
,Angola,-11.2027,17.8739,08-02-2020,0
,Angola,-11.2027,17.8739,07-02-2020,0
,Angola,-11.2027,17.8739,06-02-2020,0
,Angola,-11.2027,17.8739,05-02-2020,0
